[Tue Jan 26 16:22:46.600838 2016] [:error] [pid 1819] [client 127.0.0.1:33629] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 8, referer: http://test.loc/
[Tue Jan 26 16:23:01.196872 2016] [:error] [pid 1821] [client 127.0.0.1:33630] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 8, referer: http://test.loc/
[Tue Jan 26 16:23:01.742366 2016] [:error] [pid 1821] [client 127.0.0.1:33630] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 8, referer: http://test.loc/
[Tue Jan 26 16:25:58.406014 2016] [:error] [pid 8277] [client 127.0.0.1:33632] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 7, referer: http://test.loc/
[Tue Jan 26 16:25:59.170644 2016] [:error] [pid 8277] [client 127.0.0.1:33632] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 7, referer: http://test.loc/
[Tue Jan 26 16:28:11.437466 2016] [:error] [pid 8279] [client 127.0.0.1:33635] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:12.124828 2016] [:error] [pid 8279] [client 127.0.0.1:33635] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:36.534030 2016] [:error] [pid 8281] [client 127.0.0.1:33637] PHP Parse error:  syntax error, unexpected ')' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:37.318759 2016] [:error] [pid 8281] [client 127.0.0.1:33637] PHP Parse error:  syntax error, unexpected ')' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:43.472435 2016] [:error] [pid 8307] [client 127.0.0.1:33638] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:44.081517 2016] [:error] [pid 8307] [client 127.0.0.1:33638] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:44.370233 2016] [:error] [pid 8307] [client 127.0.0.1:33638] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 16:28:44.556059 2016] [:error] [pid 8307] [client 127.0.0.1:33638] PHP Parse error:  syntax error, unexpected '(', expecting ';' in /home/dev55/www/test.loc/wp-content/themes/test/single.php on line 6, referer: http://test.loc/
[Tue Jan 26 18:07:38.591381 2016] [:error] [pid 8438] [client 127.0.0.1:34759] PHP Fatal error:  Can't use function return value in write context in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 44, referer: http://test.loc/wp-admin/post.php?post=34&action=edit
[Tue Jan 26 18:09:38.589618 2016] [:error] [pid 8545] [client 127.0.0.1:34768] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 48, referer: http://test.loc/wp-admin/post.php?post=34&action=edit
[Tue Jan 26 18:11:39.582069 2016] [:error] [pid 8277] [client 127.0.0.1:34771] PHP Parse error:  syntax error, unexpected '}' in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 50, referer: http://test.loc/wp-admin/post.php?post=34&action=edit
[Tue Jan 26 18:15:39.589116 2016] [:error] [pid 8435] [client 127.0.0.1:34777] PHP Parse error:  syntax error, unexpected end of file in /home/dev55/www/test.loc/wp-content/themes/test/functions.php on line 56, referer: http://test.loc/wp-admin/post.php?post=34&action=edit
